Species,Accepted,Class,Order,Family,Mass,Mass imputed
Lipinia vulcania,Lipinia vulcania,Reptilia,Squamata,Scincidae,1.4482309016204589,FALSE
Lipinia zamboangensis,Lipinia zamboangensis,Reptilia,Squamata,Scincidae,1.5759936924722604,FALSE
Lissolepis coventryi,Lissolepis coventryi,Reptilia,Squamata,Scincidae,79.72576129894401,FALSE
Lissolepis luctuosa,Lissolepis luctuosa,Reptilia,Squamata,Scincidae,50.22536308534331,FALSE
Lobulia alpina,Lobulia alpina,Reptilia,Squamata,Scincidae,6.804897234422349,FALSE
Lobulia brongersmai,Lobulia brongersmai,Reptilia,Squamata,Scincidae,3.1234253014593003,FALSE
Lobulia elegans,Lobulia elegans,Reptilia,Squamata,Scincidae,5.627394580588988,FALSE
Lobulia glacialis,Lobulia glacialis,Reptilia,Squamata,Scincidae,3.707737598804038,FALSE
Lobulia stellaris,Lobulia stellaris,Reptilia,Squamata,Scincidae,5.095128435935982,FALSE
Lobulia subalpina,Lobulia subalpina,Reptilia,Squamata,Scincidae,8.874565293050173,FALSE
Lygisaurus abscondita,Lygisaurus absconditus,Reptilia,Squamata,Scincidae,0.4411888528996953,FALSE
Lygisaurus aeratus,Lygisaurus aeratus,Reptilia,Squamata,Scincidae,1.0293133748150454,FALSE
Lygisaurus curtus,Lygisaurus curtus,Reptilia,Squamata,Scincidae,1.4321121127443521,FALSE
Lygisaurus foliorum,Lygisaurus foliorum,Reptilia,Squamata,Scincidae,1.4108136177382065,FALSE
Lygisaurus laevis,Lygisaurus laevis,Reptilia,Squamata,Scincidae,0.8684071029186949,FALSE
Lygisaurus macfarlani,Lygisaurus macfarlani,Reptilia,Squamata,Scincidae,1.0813287624058665,FALSE
Lygisaurus malleolus,Lygisaurus malleolus,Reptilia,Squamata,Scincidae,0.5544553903618689,FALSE
Lygisaurus novaeguineae,Lygisaurus novaeguineae,Reptilia,Squamata,Scincidae,0.7190900905799261,FALSE
Lygisaurus parrhasius,Lygisaurus parrhasius,Reptilia,Squamata,Scincidae,0.7257644894207933,FALSE
Lygisaurus rococo,Lygisaurus rococo,Reptilia,Squamata,Scincidae,1.6338914757436325,FALSE
Lygisaurus sesbrauna,Lygisaurus sesbrauna,Reptilia,Squamata,Scincidae,0.6609147174808021,FALSE
Lygisaurus tanneri,Lygisaurus tanneri,Reptilia,Squamata,Scincidae,0.8684071029186949,FALSE
Lygisaurus zuma,Lygisaurus zuma,Reptilia,Squamata,Scincidae,0.6609147174808021,FALSE
Lygosoma albopunctata,Lygosoma,Reptilia,Squamata,Scincidae,5.627394580588988,FALSE
Lygosoma angeli,Lygosoma angeli,Reptilia,Squamata,Scincidae,79.72576129894401,FALSE
Lygosoma anguinum,Riopa anguina,Reptilia,Squamata,Scincidae,3.9181507918061547,FALSE
Lygosoma ashwamedhi,Eutropis ashwamedhi,Reptilia,Squamata,Scincidae,0.5434120693454302,FALSE
Lygosoma bampfyldei,Lygosoma bampfyldei,Reptilia,Squamata,Scincidae,66.9462535475532,FALSE
Lygosoma boehmei,Lygosoma boehmei,Reptilia,Squamata,Scincidae,15.876130350068673,FALSE
Lygosoma bowringii,Sphenomorphus indicus,Reptilia,Squamata,Scincidae,11.342399216286998,FALSE
Lygosoma carinatum,Lygosoma corpulentum,Reptilia,Squamata,Scincidae,21.527817347243726,FALSE
Lygosoma chaperi,Lygosoma,Reptilia,Squamata,Scincidae,5.356698821433776,FALSE
Lygosoma corpulentum,Lygosoma corpulentum,Reptilia,Squamata,Scincidae,186.00377566876523,FALSE
Lygosoma frontoparietale,Subdoluseps frontoparietalis,Reptilia,Squamata,Scincidae,1.2097038783149425,FALSE
Lygosoma goaensis,Riopa goaensis,Reptilia,Squamata,Scincidae,2.771320682887761,FALSE
Lygosoma guentheri,Riopa guentheri,Reptilia,Squamata,Scincidae,29.28579243769244,FALSE
Lygosoma haroldyoungi,Lygosoma haroldyoungi,Reptilia,Squamata,Scincidae,14.384241304252766,FALSE
Lygosoma herberti,Subdoluseps herberti,Reptilia,Squamata,Scincidae,5.907388565054721,FALSE
Lygosoma isodactylum,Lygosoma isodactylum,Reptilia,Squamata,Scincidae,8.045544661760065,FALSE
Lygosoma koratense,Lygosoma koratense,Reptilia,Squamata,Scincidae,38.78611162438895,FALSE
Lygosoma laeviceps,Mochlus laeviceps,Reptilia,Squamata,Scincidae,12.737779040427554,FALSE
Lygosoma lanceolatum,Mochlus lanceolatus,Reptilia,Squamata,Scincidae,21.527817347243726,FALSE
Lygosoma lineata,Riopa lineata,Reptilia,Squamata,Scincidae,3.5351302680896985,FALSE
Lygosoma lineolatum,Riopa lineolata,Reptilia,Squamata,Scincidae,1.7416859081092866,FALSE
Lygosoma mafianum,Mochlus mafianus,Reptilia,Squamata,Scincidae,13.22803998483568,FALSE
Lygosoma opisthorhodum,Lygosoma opisthorhodum,Reptilia,Squamata,Scincidae,17.030658518512322,FALSE
Lygosoma pembanum,Mochlus pembanus,Reptilia,Squamata,Scincidae,16.44640171489618,FALSE
Lygosoma popae,Riopa popae,Reptilia,Squamata,Scincidae,4.363450333288476,FALSE
Lygosoma pruthi,Subdoluseps pruthi,Reptilia,Squamata,Scincidae,3.5052573529754367,FALSE
Lygosoma punctata,Glaphyromorphus punctulatus,Reptilia,Squamata,Scincidae,15.876130350068673,FALSE
Lygosoma quadrupes,Lygosoma quadrupes,Reptilia,Squamata,Scincidae,4.933719879141951,FALSE
Lygosoma singha,Lygosoma singha,Reptilia,Squamata,Scincidae,1.5195279470406977,FALSE
Lygosoma veunsaiensis,Lygosoma veunsaiensis,Reptilia,Squamata,Scincidae,0.6361353456596249,FALSE
Lygosoma vosmaeri,Riopa vosmaerii,Reptilia,Squamata,Scincidae,3.9181507918061547,FALSE
Mabuya cochonae,Mabuya cochonae,Reptilia,Squamata,Scincidae,20.16828631100716,FALSE
Mabuya desiradae,Mabuya desiradae,Reptilia,Squamata,Scincidae,20.234814387791385,FALSE
Mabuya dominicana,Mabuya dominicana,Reptilia,Squamata,Scincidae,22.230729588088575,FALSE
Madascincus ankodabensis,Madascincus ankodabensis,Reptilia,Squamata,Scincidae,2.2960119495019438,FALSE
Madascincus arenicola,Madascincus arenicola,Reptilia,Squamata,Scincidae,11.20895229957008,FALSE
Madascincus igneocaudatus,Madascincus igneocaudatus,Reptilia,Squamata,Scincidae,9.651025697361929,FALSE
Madascincus macrolepis,Madascincus macrolepis,Reptilia,Squamata,Scincidae,0.6609147174808021,FALSE
Madascincus melanopleura,Madascincus melanopleura,Reptilia,Squamata,Scincidae,3.5052573529754367,FALSE
Madascincus minutus,Madascincus minutus,Reptilia,Squamata,Scincidae,1.5759936924722604,FALSE
Madascincus mouroundavae,Madascincus mouroundavae,Reptilia,Squamata,Scincidae,7.452922942808509,FALSE
Madascincus nanus,Madascincus nanus,Reptilia,Squamata,Scincidae,0.3954423105304571,FALSE
Madascincus polleni,Madascincus polleni,Reptilia,Squamata,Scincidae,22.949327044047465,FALSE
Madascincus stumpffi,Madascincus stumpffi,Reptilia,Squamata,Scincidae,32.86591782168526,FALSE
Manciola guaporicola,Manciola guaporicola,Reptilia,Squamata,Scincidae,20.16828631100716,FALSE
Maracaiba meridensis,Maracaiba meridensis,Reptilia,Squamata,Scincidae,9.152771599360527,FALSE
Maracaiba zuliae,Maracaiba zuliae,Reptilia,Squamata,Scincidae,22.159735687719145,FALSE
Marisora alliacea,Marisora alliacea,Reptilia,Squamata,Scincidae,14.247364916816037,FALSE
Marisora aurulae,Marisora aurulae,Reptilia,Squamata,Scincidae,14.776797812097925,FALSE
Marisora brachypoda,Marisora brachypoda,Reptilia,Squamata,Scincidae,13.079618413229191,FALSE
Marisora falconensis,Marisora falconensis,Reptilia,Squamata,Scincidae,14.884289723595266,FALSE
Marisora magnacornae,Marisora magnacornae,Reptilia,Squamata,Scincidae,9.413357703433267,FALSE
Marisora roatanae,Marisora roatanae,Reptilia,Squamata,Scincidae,15.429857314401996,FALSE
Marisora unimarginata,Marisora unimarginata,Reptilia,Squamata,Scincidae,16.44640171489618,FALSE
Marmorosphax boulinda,Marmorosphax boulinda,Reptilia,Squamata,Scincidae,2.771320682887761,FALSE
Marmorosphax kaala,Marmorosphax kaala,Reptilia,Squamata,Scincidae,3.21604445263866,FALSE
Marmorosphax montana,Marmorosphax montana,Reptilia,Squamata,Scincidae,5.907388565054721,FALSE
Marmorosphax taom,Marmorosphax taom,Reptilia,Squamata,Scincidae,3.032664070578039,FALSE
Marmorosphax tricolor,Marmorosphax tricolor,Reptilia,Squamata,Scincidae,5.627394580588988,FALSE
Melanoseps ater,Melanoseps ater,Reptilia,Squamata,Scincidae,10.174075942080126,FALSE
Melanoseps emmrichi,Melanoseps emmrichi,Reptilia,Squamata,Scincidae,22.075335617487706,FALSE
Melanoseps longicauda,Melanoseps longicauda,Reptilia,Squamata,Scincidae,2.340510738203367,FALSE
Melanoseps loveridgei,Melanoseps loveridgei,Reptilia,Squamata,Scincidae,5.536855531751693,FALSE
Melanoseps occidentalis,Melanoseps occidentalis,Reptilia,Squamata,Scincidae,3.7955105943243805,FALSE
Melanoseps pygmaeus,Melanoseps pygmaeus,Reptilia,Squamata,Scincidae,1.7942967933923923,FALSE
Melanoseps rondoensis,Melanoseps rondoensis,Reptilia,Squamata,Scincidae,4.129457778094784,FALSE
Melanoseps uzungwensis,Melanoseps uzungwensis,Reptilia,Squamata,Scincidae,13.617719303519912,FALSE
Menetia alanae,Menetia alanae,Reptilia,Squamata,Scincidae,0.3954423105304571,FALSE
Menetia amaura,Menetia amaura,Reptilia,Squamata,Scincidae,0.3954423105304571,FALSE
Menetia concinna,Menetia concinna,Reptilia,Squamata,Scincidae,0.49046374395514525,FALSE
Menetia greyii,Menetia greyii,Reptilia,Squamata,Scincidae,1.1169962420351676,FALSE
Menetia maini,Menetia maini,Reptilia,Squamata,Scincidae,0.3530801342133485,FALSE
Menetia surda,Menetia surda,Reptilia,Squamata,Scincidae,0.5434120693454302,FALSE
Mesoscincus altamirani,Mesoscincus altamirani,Reptilia,Squamata,Scincidae,21.527817347243726,FALSE
Mesoscincus managuae,Mesoscincus managuae,Reptilia,Squamata,Scincidae,44.25093300753527,FALSE
Mesoscincus schwartzei,Mesoscincus schwartzei,Reptilia,Squamata,Scincidae,44.25093300753527,FALSE
Mochlus afer,Mochlus sundevallii,Reptilia,Squamata,Scincidae,63.803929575012106,FALSE
Mochlus brevicaudis,Mochlus brevicaudis,Reptilia,Squamata,Scincidae,9.651025697361929,FALSE
Mochlus grandisonianum,Mochlus grandisonianus,Reptilia,Squamata,Scincidae,4.026384838126017,FALSE
Mochlus guineensis,Mochlus guineensis,Reptilia,Squamata,Scincidae,10.473155891591487,FALSE
Mochlus mabuiiforme,Mochlus mabuiiformis,Reptilia,Squamata,Scincidae,286.86423324862653,FALSE
Mochlus mocquardi,Mochlus mocquardi,Reptilia,Squamata,Scincidae,10.473155891591487,FALSE
Mochlus paedocarinatum,Mochlus paedocarinatus,Reptilia,Squamata,Scincidae,12.26020734370116,FALSE
Mochlus productum,Mochlus productus,Reptilia,Squamata,Scincidae,32.402732611621644,FALSE
Mochlus simonettai,Mochlus simonettai,Reptilia,Squamata,Scincidae,14.247364916816037,FALSE
Mochlus somalicum,Mochlus somalicus,Reptilia,Squamata,Scincidae,12.737779040427554,FALSE
Mochlus sundevalli,Mochlus sundevallii,Reptilia,Squamata,Scincidae,63.803929575012106,FALSE
Mochlus tanae,Mochlus tanae,Reptilia,Squamata,Scincidae,5.191715181900887,FALSE
Mochlus vinciguerrae,Mochlus vinciguerrae,Reptilia,Squamata,Scincidae,5.095128435935982,FALSE
Morethia adelaidensis,Morethia adelaidensis,Reptilia,Squamata,Scincidae,3.707737598804038,FALSE
Morethia boulengeri,Morethia boulengeri,Reptilia,Squamata,Scincidae,3.5052573529754367,FALSE
Morethia butleri,Morethia butleri,Reptilia,Squamata,Scincidae,3.5052573529754367,FALSE
Morethia lineoocellata,Morethia lineoocellata,Reptilia,Squamata,Scincidae,3.5052573529754367,FALSE
Morethia obscura,Morethia obscura,Reptilia,Squamata,Scincidae,3.310542281774319,FALSE
Morethia ruficauda,Morethia ruficauda,Reptilia,Squamata,Scincidae,1.7540623953940022,FALSE
Morethia storri,Morethia storri,Reptilia,Squamata,Scincidae,0.9465013396765573,FALSE
Morethia taeniopleura,Morethia taeniopleura,Reptilia,Squamata,Scincidae,1.5195279470406977,FALSE
Nangura spinosa,Nangura spinosa,Reptilia,Squamata,Scincidae,18.241876912990453,FALSE
Nannoscincus exos,Nannoscincus exos,Reptilia,Squamata,Scincidae,0.8684071029186949,FALSE
Nannoscincus garrulus,Nannoscincus garrulus,Reptilia,Squamata,Scincidae,2.654862010194621,FALSE
Nannoscincus gracilis,Nannoscincus gracilis,Reptilia,Squamata,Scincidae,0.9357605022538983,FALSE
Nannoscincus greeri,Nannoscincus greeri,Reptilia,Squamata,Scincidae,0.6609147174808021,FALSE
Nannoscincus hanchisteus,Nannoscincus hanchisteus,Reptilia,Squamata,Scincidae,0.6609147174808021,FALSE
Nannoscincus humectus,Nannoscincus humectus,Reptilia,Squamata,Scincidae,0.7948785452509625,FALSE
Nannoscincus manautei,Nannoscincus manautei,Reptilia,Squamata,Scincidae,0.6609147174808021,FALSE
Nannoscincus mariei,Nannoscincus mariei,Reptilia,Squamata,Scincidae,1.7540623953940022,FALSE
Nannoscincus rankini,Nannoscincus rankini,Reptilia,Squamata,Scincidae,1.2097038783149425,FALSE
Nannoscincus slevini,Nannoscincus slevini,Reptilia,Squamata,Scincidae,0.6775385681599188,FALSE
Nessia bipes,Nessia bipes,Reptilia,Squamata,Scincidae,1.4794727485685628,FALSE
Nessia burtonii,Nessia burtonii,Reptilia,Squamata,Scincidae,2.7693076156070973,FALSE
Nessia deraniyagalai,Nessia deraniyagalai,Reptilia,Squamata,Scincidae,1.4794727485685628,FALSE
Nessia didactyla,Nessia didactyla,Reptilia,Squamata,Scincidae,3.759067904839627,FALSE
Nessia hickanala,Nessia hickanala,Reptilia,Squamata,Scincidae,5.359132342807385,FALSE
Nessia layardi,Nessia layardi,Reptilia,Squamata,Scincidae,2.1438483584063297,FALSE
Nessia monodactyla,Nessia monodactyla,Reptilia,Squamata,Scincidae,1.989734828770269,FALSE
Nessia sarasinorum,Nessia sarasinorum,Reptilia,Squamata,Scincidae,5.3327562576913365,FALSE
Niveoscincus coventryi,Carinascincus coventryi,Reptilia,Squamata,Scincidae,2.94374000569286,FALSE
Niveoscincus greeni,Carinascincus greeni,Reptilia,Squamata,Scincidae,8.503012528994338,FALSE
Niveoscincus metallicus,Carinascincus metallicus,Reptilia,Squamata,Scincidae,7.123824437684057,FALSE
Niveoscincus microlepidotus,Carinascincus microlepidotus,Reptilia,Squamata,Scincidae,6.804897234422349,FALSE
Niveoscincus ocellatus,Carinascincus ocellatus,Reptilia,Squamata,Scincidae,12.737779040427554,FALSE
Niveoscincus orocryptus,Carinascincus orocryptus,Reptilia,Squamata,Scincidae,5.356698821433776,FALSE
Niveoscincus palfreymani,Carinascincus palfreymani,Reptilia,Squamata,Scincidae,18.241876912990453,FALSE
Niveoscincus pretiosus,Carinascincus pretiosus,Reptilia,Squamata,Scincidae,6.804897234422349,FALSE
Notomabuya frenata,Notomabuya frenata,Reptilia,Squamata,Scincidae,15.876130350068673,FALSE
Notoscincus butleri,Notoscincus butleri,Reptilia,Squamata,Scincidae,1.3075911092358568,FALSE
Notoscincus ornatus,Notoscincus ornatus,Reptilia,Squamata,Scincidae,1.0293133748150454,FALSE
Oligosoma acrinasum,Oligosoma acrinasum,Reptilia,Squamata,Scincidae,14.247364916816037,FALSE
Oligosoma aeneum,Oligosoma aeneum,Reptilia,Squamata,Scincidae,5.7942640964022525,FALSE
Oligosoma alani,Oligosoma alani,Reptilia,Squamata,Scincidae,66.79424788776076,FALSE
Oligosoma burganae,Oligosoma burganae,Reptilia,Squamata,Scincidae,5.935906042210445,FALSE
Oligosoma chloronoton,Oligosoma chloronoton,Reptilia,Squamata,Scincidae,44.25093300753527,FALSE
Oligosoma fallai,Oligosoma fallai,Reptilia,Squamata,Scincidae,71.45905670473003,FALSE
Oligosoma grande,Oligosoma grande,Reptilia,Squamata,Scincidae,36.737280310435025,FALSE
Oligosoma hardyi,Oligosoma hardyi,Reptilia,Squamata,Scincidae,4.59867549800953,FALSE
Oligosoma homalonotum,Oligosoma homalonotum,Reptilia,Squamata,Scincidae,73.0626417351275,FALSE
Oligosoma inconspicuum,Oligosoma inconspicuum,Reptilia,Squamata,Scincidae,8.503012528994338,FALSE
Oligosoma infrapunctatum,Oligosoma infrapunctatum,Reptilia,Squamata,Scincidae,33.80596418288598,FALSE
Oligosoma judgei,Oligosoma judgei,Reptilia,Squamata,Scincidae,15.876130350068673,FALSE
Oligosoma levidensum,Oligosoma levidensum,Reptilia,Squamata,Scincidae,2.416762241056301,FALSE
Oligosoma lichenigera,Oligosoma lichenigerum,Reptilia,Squamata,Scincidae,10.473155891591487,FALSE
Oligosoma lineoocellatum,Oligosoma lineoocellatum,Reptilia,Squamata,Scincidae,30.154206110312273,FALSE
Oligosoma longipes,Oligosoma longipes,Reptilia,Squamata,Scincidae,8.503012528994338,FALSE
Oligosoma maccanni,Oligosoma maccanni,Reptilia,Squamata,Scincidae,8.503012528994338,FALSE
Oligosoma macgregori,Oligosoma macgregori,Reptilia,Squamata,Scincidae,32.86591782168526,FALSE
Oligosoma microlepis,Oligosoma microlepis,Reptilia,Squamata,Scincidae,6.804897234422349,FALSE
Oligosoma moco,Oligosoma moco,Reptilia,Squamata,Scincidae,8.142339807394338,FALSE
Oligosoma nigriplantare,Oligosoma nigriplantare,Reptilia,Squamata,Scincidae,20.16828631100716,FALSE
Oligosoma notosaurus,Oligosoma notosaurus,Reptilia,Squamata,Scincidae,15.319657749454432,FALSE
Oligosoma oliveri,Oligosoma oliveri,Reptilia,Squamata,Scincidae,34.76440870260976,FALSE
Oligosoma ornatum,Oligosoma ornatum,Reptilia,Squamata,Scincidae,12.26020734370116,FALSE
Oligosoma otagense,Oligosoma otagense,Reptilia,Squamata,Scincidae,54.06509233048129,FALSE
Oligosoma pikitanga,Oligosoma pikitanga,Reptilia,Squamata,Scincidae,16.44640171489618,FALSE
Oligosoma polychroma,Oligosoma polychroma,Reptilia,Squamata,Scincidae,10.056292063137443,FALSE
Oligosoma repens,Oligosoma repens,Reptilia,Squamata,Scincidae,4.5509470862031245,FALSE
Oligosoma roimata,Oligosoma roimata,Reptilia,Squamata,Scincidae,4.993016784733386,FALSE
Oligosoma smithi,Oligosoma smithi,Reptilia,Squamata,Scincidae,10.473155891591487,FALSE
Oligosoma stenotis,Oligosoma stenotis,Reptilia,Squamata,Scincidae,8.503012528994338,FALSE
Oligosoma striatum,Oligosoma striatum,Reptilia,Squamata,Scincidae,8.874565293050173,FALSE
Oligosoma suteri,Oligosoma suteri,Reptilia,Squamata,Scincidae,45.4042482985218,FALSE
Oligosoma taumakae,Oligosoma taumakae,Reptilia,Squamata,Scincidae,18.869214046118923,FALSE
Oligosoma tekakahu,Oligosoma tekakahu,Reptilia,Squamata,Scincidae,10.056292063137443,FALSE
Oligosoma toka,Oligosoma toka,Reptilia,Squamata,Scincidae,7.156273678415671,FALSE
Oligosoma townsi,Oligosoma townsi,Reptilia,Squamata,Scincidae,13.477986312798865,FALSE
Oligosoma waimatense,Oligosoma waimatense,Reptilia,Squamata,Scincidae,44.25093300753527,FALSE
Oligosoma whitakeri,Oligosoma whitakeri,Reptilia,Squamata,Scincidae,22.230729588088575,FALSE
Oligosoma zelandicum,Oligosoma zelandicum,Reptilia,Squamata,Scincidae,7.792369090659815,FALSE
Ophiomorus blanfordi,Ophiomorus blanfordii,Reptilia,Squamata,Scincidae,4.933719879141951,FALSE
Ophiomorus brevipes,Ophiomorus brevipes,Reptilia,Squamata,Scincidae,5.457578610912709,FALSE
Ophiomorus chernovi,Ophiomorus chernovi,Reptilia,Squamata,Scincidae,5.457578610912709,FALSE
Ophiomorus latastii,Ophiomorus latastii,Reptilia,Squamata,Scincidae,2.7652562844705675,FALSE
Ophiomorus maranjabensis,Ophiomorus maranjabensis,Reptilia,Squamata,Scincidae,1.6551690543345254,FALSE
Ophiomorus nuchalis,Ophiomorus nuchalis,Reptilia,Squamata,Scincidae,7.382609751459605,FALSE
Ophiomorus persicus,Ophiomorus persicus,Reptilia,Squamata,Scincidae,3.3415490697170505,FALSE
Ophiomorus punctatissimus,Ophiomorus punctatissimus,Reptilia,Squamata,Scincidae,2.4717241450161302,FALSE
Ophiomorus raithmai,Ophiomorus raithmai,Reptilia,Squamata,Scincidae,5.323658650278118,FALSE
Ophiomorus streeti,Ophiomorus streeti,Reptilia,Squamata,Scincidae,6.907529017519432,FALSE
Ophiomorus tridactylus,Ophiomorus tridactylus,Reptilia,Squamata,Scincidae,6.1571530202312434,FALSE
Ophioscincus cooloolensis,Ophioscincus cooloolensis,Reptilia,Squamata,Scincidae,1.0882420220269247,FALSE
Ophioscincus ophioscincus,Ophioscincus ophioscincus,Reptilia,Squamata,Scincidae,2.3044908548068253,FALSE
Ophioscincus truncatus,Ophioscincus truncatus,Reptilia,Squamata,Scincidae,1.4372830700665418,FALSE
Orosaura nebulosylvestris,Orosaura nebulosylvestris,Reptilia,Squamata,Scincidae,19.317106980749948,FALSE
Otosaurus cumingi,Otosaurus cumingii,Reptilia,Squamata,Scincidae,91.4295979463196,FALSE
Pamelaescincus gardineri,Pamelaescincus gardineri,Reptilia,Squamata,Scincidae,11.342399216286998,FALSE
Panaspis breviceps,Panaspis breviceps,Reptilia,Squamata,Scincidae,6.804897234422349,FALSE
Panaspis burgeoni,Panaspis burgeoni,Reptilia,Squamata,Scincidae,3.5052573529754367,FALSE
Panaspis cabindae,Panaspis cabindae,Reptilia,Squamata,Scincidae,1.3075911092358568,FALSE
Panaspis helleri,Panaspis helleri,Reptilia,Squamata,Scincidae,4.59867549800953,FALSE
Panaspis megalurus,Panaspis megalurus,Reptilia,Squamata,Scincidae,1.3075911092358568,FALSE
Panaspis nimbaensis,Panaspis tristaoi,Reptilia,Squamata,Scincidae,6.1968542119819015,FALSE
Panaspis tancredi,Panaspis tancredii,Reptilia,Squamata,Scincidae,0.3530801342133485,FALSE
Panaspis togoensis,Panaspis togoensis,Reptilia,Squamata,Scincidae,3.1234253014593003,FALSE
Panopa carvalhoi,Panopa carvalhoi,Reptilia,Squamata,Scincidae,4.842511201671201,FALSE
Panopa croizati,Panopa croizati,Reptilia,Squamata,Scincidae,2.606002313948616,FALSE
Papuascincus morokanus,Papuascincus morokanus,Reptilia,Squamata,Scincidae,2.606002313948616,FALSE
Papuascincus phaeodes,Papuascincus phaeodes,Reptilia,Squamata,Scincidae,1.6338914757436325,FALSE
Papuascincus stanleyanus,Papuascincus stanleyanus,Reptilia,Squamata,Scincidae,4.136665335267489,FALSE
Paracontias brocchii,Paracontias brocchii,Reptilia,Squamata,Scincidae,3.6309493938457194,FALSE
Paracontias fasika,Paracontias fasika,Reptilia,Squamata,Scincidae,0.20117793129415718,FALSE
Paracontias hafa,Paracontias hafa,Reptilia,Squamata,Scincidae,1.052817048612238,FALSE
Paracontias hildebrandti,Paracontias hildebrandti,Reptilia,Squamata,Scincidae,0.501915965011615,FALSE
Paracontias holomelas,Paracontias holomelas,Reptilia,Squamata,Scincidae,7.285778435929352,FALSE
Paracontias kankana,Paracontias kankana,Reptilia,Squamata,Scincidae,0.7202089134762635,FALSE
Paracontias manify,Paracontias manify,Reptilia,Squamata,Scincidae,0.9839477704843804,FALSE
Paracontias milloti,Paracontias milloti,Reptilia,Squamata,Scincidae,0.33610375771049245,FALSE
Paracontias minimus,Paracontias minimus,Reptilia,Squamata,Scincidae,1.2714760410561017,FALSE
Paracontias rothschildi,Paracontias rothschildi,Reptilia,Squamata,Scincidae,0.6249340468740595,FALSE
Paracontias tsararano,Paracontias tsararano,Reptilia,Squamata,Scincidae,0.9504976599409366,FALSE
Paracontias vermisaurus,Paracontias vermisaurus,Reptilia,Squamata,Scincidae,0.7781034877688171,FALSE
Parvoscincus abstrusus,Parvoscincus abstrusus,Reptilia,Squamata,Scincidae,1.6740900455040193,FALSE
Parvoscincus agtorum,Parvoscincus agtorum,Reptilia,Squamata,Scincidae,1.6233633056843633,FALSE
Parvoscincus arvindiesmosi,Parvoscincus arvindiesmosi,Reptilia,Squamata,Scincidae,1.4256994268135141,FALSE
Parvoscincus aurorus,Parvoscincus aurorus,Reptilia,Squamata,Scincidae,1.8340929056459592,FALSE
Parvoscincus banahaoensis,Parvoscincus banahaoensis,Reptilia,Squamata,Scincidae,1.6444666865068107,FALSE
Parvoscincus beyeri,Parvoscincus beyeri,Reptilia,Squamata,Scincidae,7.757953800525915,FALSE
Parvoscincus boyingi,Parvoscincus boyingi,Reptilia,Squamata,Scincidae,5.822403750594674,FALSE
Parvoscincus decipiens,Parvoscincus decipiens,Reptilia,Squamata,Scincidae,1.6338914757436325,FALSE
Parvoscincus hadros,Parvoscincus hadros,Reptilia,Squamata,Scincidae,13.578871108873097,FALSE
Parvoscincus igorotorum,Parvoscincus igorotorum,Reptilia,Squamata,Scincidae,3.6055163640766725,FALSE
Parvoscincus jimmymcguirei,Parvoscincus jimmymcguirei,Reptilia,Squamata,Scincidae,2.1566885865513283,FALSE
Parvoscincus kitangladensis,Parvoscincus kitangladensis,Reptilia,Squamata,Scincidae,3.5052573529754367,FALSE
Parvoscincus laterimaculatus,Parvoscincus laterimaculatus,Reptilia,Squamata,Scincidae,3.525153185497686,FALSE
Parvoscincus lawtoni,Parvoscincus lawtoni,Reptilia,Squamata,Scincidae,1.8801997170921168,FALSE
Parvoscincus leucospilos,Parvoscincus leucospilos,Reptilia,Squamata,Scincidae,4.136665335267489,FALSE
Parvoscincus luzonense,Parvoscincus luzonensis,Reptilia,Squamata,Scincidae,2.0260327067280164,FALSE
Parvoscincus manananggalae,Parvoscincus manananggalae,Reptilia,Squamata,Scincidae,3.291491424964195,FALSE
Parvoscincus palaliensis,Parvoscincus palaliensis,Reptilia,Squamata,Scincidae,1.0533669936740417,FALSE
Parvoscincus palawanensis,Parvoscincus palawanensis,Reptilia,Squamata,Scincidae,0.7257644894207933,FALSE
Parvoscincus sisoni,Parvoscincus sisoni,Reptilia,Squamata,Scincidae,0.8384562859433958,FALSE
Parvoscincus steerei,Parvoscincus steerei,Reptilia,Squamata,Scincidae,0.7948785452509625,FALSE
Parvoscincus tagapayo,Parvoscincus tagapayo,Reptilia,Squamata,Scincidae,0.5489145592059996,FALSE
Parvoscincus tikbalangi,Parvoscincus tikbalangi,Reptilia,Squamata,Scincidae,3.068746944164306,FALSE
Phoboscincus bocourti,Phoboscincus bocourti,Reptilia,Squamata,Scincidae,626.2747755673286,FALSE
Phoboscincus garnieri,Phoboscincus garnieri,Reptilia,Squamata,Scincidae,201.84865319922218,FALSE
Pinoyscincus abdictus,Pinoyscincus abdictus,Reptilia,Squamata,Scincidae,20.16828631100716,FALSE
Pinoyscincus coxi,Pinoyscincus coxi,Reptilia,Squamata,Scincidae,15.319657749454432,FALSE
Pinoyscincus jagori,Pinoyscincus jagori,Reptilia,Squamata,Scincidae,29.544478602150686,FALSE
Pinoyscincus llanosi,Pinoyscincus llanosi,Reptilia,Squamata,Scincidae,17.030658518512322,FALSE
Pinoyscincus mindanensis,Pinoyscincus mindanensis,Reptilia,Squamata,Scincidae,3.310542281774319,FALSE
Plestiodon anthracinus,Plestiodon anthracinus,Reptilia,Squamata,Scincidae,6.804897234422349,FALSE
Plestiodon barbouri,Plestiodon barbouri,Reptilia,Squamata,Scincidae,6.804897234422349,FALSE
Plestiodon bilineatus,Plestiodon bilineatus,Reptilia,Squamata,Scincidae,5.627394580588988,FALSE
