Species,Order,Family,id
Passer moabiticus,Passeriformes,Passeridae,B501
Passer montanus,Passeriformes,Passeridae,B502
Petronia petronia,Passeriformes,Passeridae,B504
Carpospiza brachydactyla,Passeriformes,Passeridae,B505
Saxicola dacotiae,Passeriformes,Muscicapidae,B513
Milvus milvus,Accipitriformes,Accipitridae,B88
Tadorna tadorna,Anseriformes,Anatidae,B57
Anas strepera,Anseriformes,Anatidae,B59
Anas crecca,Anseriformes,Anatidae,B60
Anas querquedula,Anseriformes,Anatidae,B63
Marmaronetta angustirostris,Anseriformes,Anatidae,B65
Aythya ferina,Anseriformes,Anatidae,B67
Aythya nyroca,Anseriformes,Anatidae,B68
Aythya fuligula,Anseriformes,Anatidae,B69
Aythya marila,Anseriformes,Anatidae,B70
Oxyura leucocephala,Anseriformes,Anatidae,B84
Perdix perdix,Galliformes,Phasianidae,B138
Rallus aquaticus,Gruiformes,Rallidae,B144
Crex crex,Gruiformes,Rallidae,B145
Porzana parva,Gruiformes,Rallidae,B146
Porzana pusilla,Gruiformes,Rallidae,B147
Porzana porzana,Gruiformes,Rallidae,B148
Porphyrio porphyrio,Gruiformes,Rallidae,B149
Fulica cristata,Gruiformes,Rallidae,B151
Fulica atra,Gruiformes,Rallidae,B152
Vanellus vanellus,Charadriiformes,Charadriidae,B161
Chtoicocephalus ridibundus,Charadriiformes,Laridae,B217
Columba livia,Columbiformes,Columbidae,B244
Columba oenas,Columbiformes,Columbidae,B245
Columba palumbus,Columbiformes,Columbidae,B246
Streptopelia turtur,Columbiformes,Columbidae,B248
Streptopelia decaocto,Columbiformes,Columbidae,B249
Streptopelia senegalensis,Columbiformes,Columbidae,B250
Turdus merula,Passeriformes,Turdidae,B337
Turdus ruficollis,Passeriformes,Turdidae,B338
Turdus pilaris,Passeriformes,Turdidae,B339
Turdus iliacus,Passeriformes,Turdidae,B340
Turdus philomelos,Passeriformes,Turdidae,B341
Turdus viscivorus,Passeriformes,Turdidae,B342
Cyanopica cyanus,Passeriformes,Corvidae,B441
Coloeus monedula,Passeriformes,Corvidae,B446
Corvus corone,Passeriformes,Corvidae,B448
Calcarius lapponicus,Passeriformes,Calcariidae,B469
Sciurus vulgaris,Rodentia,Sciuridae,M235
Milvus migrans,Accipitriformes,Accipitridae,B89
Haliaeetus albicilla,Accipitriformes,Accipitridae,B90
Gavia arctica,Gaviiformes,Gaviidae,B2
Gavia adamsii,Gaviiformes,Gaviidae,B4
Tachybaptus ruficollis,Podicipediformes,Podicipedidae,B5
Podiceps auritus,Podicipediformes,Podicipedidae,B8
Morus bassanus,Suliformes,Sulidae,B24
Plegadis falcinellus,Pelecaniformes,Threskiornithidae,B41
Phoenicopterus roseus,Phoenicopteriformes,Phoenicopteridae,B43
Cygnus cygnus,Anseriformes,Anatidae,B45
Cygnus columbianus,Anseriformes,Anatidae,B46
Anser fabalis,Anseriformes,Anatidae,B47
Anser brachyrhynchus,Anseriformes,Anatidae,B48
Anser albifrons,Anseriformes,Anatidae,B49
Anser erythropus,Anseriformes,Anatidae,B50
Anser anser,Anseriformes,Anatidae,B51
Branta leucopsis,Anseriformes,Anatidae,B53
Branta bernicla,Anseriformes,Anatidae,B54
Anas penelope,Anseriformes,Anatidae,B58
Anas platyrhynchos,Anseriformes,Anatidae,B61
Anas acuta,Anseriformes,Anatidae,B62
Anas clypeata,Anseriformes,Anatidae,B64
Netta rufina,Anseriformes,Anatidae,B66
Somateria mollissima,Anseriformes,Anatidae,B71
Somateria spectabilis,Anseriformes,Anatidae,B72
Polysticta stelleri,Anseriformes,Anatidae,B73
Histrionicus histrionicus,Anseriformes,Anatidae,B74
Clangula hyemalis,Anseriformes,Anatidae,B75
Melanitta nigra,Anseriformes,Anatidae,B76
Melanitta fusca,Anseriformes,Anatidae,B77
Bucephala islandica,Anseriformes,Anatidae,B79
Lagopus lagopus,Galliformes,Phasianidae,B124
Lagopus muta,Galliformes,Phasianidae,B125
Scolopax rusticola,Charadriiformes,Scolopacidae,B174
Lymnocryptes minimus,Charadriiformes,Scolopacidae,B175
Gallinago stenura,Charadriiformes,Scolopacidae,B176
Gallinago media,Charadriiformes,Scolopacidae,B177
Gallinago gallinago,Charadriiformes,Scolopacidae,B178
Limosa limosa,Charadriiformes,Scolopacidae,B179
Limosa lapponica,Charadriiformes,Scolopacidae,B180
Numenius phaeopus,Charadriiformes,Scolopacidae,B181
Numenius arquata,Charadriiformes,Scolopacidae,B182
Tringa erythropus,Charadriiformes,Scolopacidae,B183
Tringa totanus,Charadriiformes,Scolopacidae,B184
Tringa stagnatilis,Charadriiformes,Scolopacidae,B185
Tringa nebularia,Charadriiformes,Scolopacidae,B186
Tringa ochropus,Charadriiformes,Scolopacidae,B187
Tringa glareola,Charadriiformes,Scolopacidae,B188
Xenus cinereus,Charadriiformes,Scolopacidae,B189
Actitis hypoleucos,Charadriiformes,Scolopacidae,B190
Arenaria interpres,Charadriiformes,Scolopacidae,B191
Calidris canutus,Charadriiformes,Scolopacidae,B192
Calidris alba,Charadriiformes,Scolopacidae,B193
Calidris minuta,Charadriiformes,Scolopacidae,B194
Calidris temminckii,Charadriiformes,Scolopacidae,B195
Calidris melanotos,Charadriiformes,Scolopacidae,B196
Calidris alpina,Charadriiformes,Scolopacidae,B197
Calidris maritima,Charadriiformes,Scolopacidae,B198
Limicola falcinellus,Charadriiformes,Scolopacidae,B199
Philomachus pugnax,Charadriiformes,Scolopacidae,B200
Phalaropus lobatus,Charadriiformes,Scolopacidae,B201
Phalaropus fulicarius,Charadriiformes,Scolopacidae,B202
Stercorarius skua,Charadriiformes,Stercorariidae,B203
Stercorarius pomarinus,Charadriiformes,Stercorariidae,B204
Stercorarius parasiticus,Charadriiformes,Stercorariidae,B205
Stercorarius longicaudus,Charadriiformes,Stercorariidae,B206
Larus canus,Charadriiformes,Laridae,B207
Ichthyaetus audouinii,Charadriiformes,Laridae,B208
Larus marinus,Charadriiformes,Laridae,B209
Larus hyperboreus,Charadriiformes,Laridae,B210
Larus glaucoides,Charadriiformes,Laridae,B211
Larus argentatus,Charadriiformes,Laridae,B212
Larus fuscus,Charadriiformes,Laridae,B213
Larus cachinnans,Charadriiformes,Laridae,B214
Larus armenicus,Charadriiformes,Laridae,B215
Ichthyaetus ichthyaetus,Charadriiformes,Laridae,B216
Ichthyaetus melanocephalus,Charadriiformes,Laridae,B219
Hydrocoloeus minutus,Charadriiformes,Laridae,B220
Pagophila eburnea,Charadriiformes,Laridae,B221
Xema sabini,Charadriiformes,Laridae,B222
Rissa tridactyla,Charadriiformes,Laridae,B223
Alle alle,Charadriiformes,Alcidae,B236
Uria aalge,Charadriiformes,Alcidae,B237
Uria lomvia,Charadriiformes,Alcidae,B238
Alca torda,Charadriiformes,Alcidae,B239
Cepphus grylle,Charadriiformes,Alcidae,B240
Fratercula arctica,Charadriiformes,Alcidae,B241
Calomyscus urartensis,Rodentia,Calomyscidae,M29
Castor fiber,Rodentia,Castoridae,M40
Lepus capensis,Lagomorpha,Leporidae,M96
Lepus castroviejoi,Lagomorpha,Leporidae,M97
Lepus corsicanus,Lagomorpha,Leporidae,M98
Lepus europaeus,Lagomorpha,Leporidae,M99
Lepus granatensis,Lagomorpha,Leporidae,M100
Lepus timidus,Lagomorpha,Leporidae,M101
Lepus tolai,Lagomorpha,Leporidae,M102
Ochotona hyperborea,Lagomorpha,Ochotonidae,M199
Ochotona pusilla,Lagomorpha,Ochotonidae,M200
Oryctolagus cuniculus,Lagomorpha,Leporidae,M201
Emys orbicularis,Testudines,Emydidae,R80
Mauremys caspica,Testudines,Geoemydidae,R148
Mauremys leprosa,Testudines,Geoemydidae,R149
Mauremys rivulata,Testudines,Geoemydidae,R150
Rafetus euphraticus,Testudines,Trionychidae,R187
Testudo graeca,Testudines,Testudinidae,R196
Testudo hermanni,Testudines,Testudinidae,R197
Emys trinacris,Testudines,Emydidae,R198
Testudo marginata,Testudines,Testudinidae,R199
Trionyx triunguis,Testudines,Trionychidae,R202
Vipera ammodytes,Squamata,Viperidae,R206
Vipera berus,Squamata,Viperidae,R208
Vipera darevskii,Squamata,Viperidae,R210
Vipera dinniki,Squamata,Viperidae,R211
Vipera kaznakovi,Squamata,Viperidae,R212
Vipera latastei,Squamata,Viperidae,R213
Vipera berus nikolskii,Squamata,Viperidae,R214
Vipera pontica,Squamata,Viperidae,R215
Vipera transcaucasiana,Squamata,Viperidae,R216
Vipera seoanei,Squamata,Viperidae,R217
Vipera ursinii,Squamata,Viperidae,R218
Vipera renardi,Squamata,Viperidae,R227
Vipera eriwanensis,Squamata,Viperidae,R240
Vipera lotievi,Squamata,Viperidae,R242
Gypaetus barbatus,Accipitriformes,Accipitridae,B91
Neophron percnopterus,Accipitriformes,Accipitridae,B92
Aegypius monachus,Accipitriformes,Accipitridae,B94
Marmota baibacina,Rodentia,Sciuridae,M107
Marmota bobak,Rodentia,Sciuridae,M108
Marmota marmota,Rodentia,Sciuridae,M109
Circaetus gallicus,Accipitriformes,Accipitridae,B95
Coracias garrulus,Coraciiformes,Coraciidae,B281
Zoothera dauma,Passeriformes,Turdidae,B335
Turdus torquatus,Passeriformes,Turdidae,B336
Trapelus agilis,Squamata,Agamidae,R200
Circus aeruginosus,Accipitriformes,Accipitridae,B96
Phasianus colchicus,Galliformes,Phasianidae,B140
Haematopus ostralegus,Charadriiformes,Haematopodidae,B155
Himantopus himantopus,Charadriiformes,Recurvirostridae,B156
Recurvirostra avosetta,Charadriiformes,Recurvirostridae,B157
Pluvialis squatarola,Charadriiformes,Charadriidae,B167
Gelochelidon nilotica,Charadriiformes,Laridae,B224
Thalasseus sandvicensis,Charadriiformes,Laridae,B227
Sterna hirundo,Charadriiformes,Laridae,B229
Sternula albifrons,Charadriiformes,Laridae,B231
Chlidonias hybrida,Charadriiformes,Laridae,B233
Chlidonias leucopterus,Charadriiformes,Laridae,B234
Chlidonias niger,Charadriiformes,Laridae,B235
Vanellus gregarius,Charadriiformes,Charadriidae,B514
Circus cyaneus,Accipitriformes,Accipitridae,B97
Iduna caligata,Passeriformes,Acrocephalidae,B358
Iduna pallida,Passeriformes,Acrocephalidae,B359
Hippolais languida,Passeriformes,Acrocephalidae,B360
Hippolais olivetorum,Passeriformes,Acrocephalidae,B361
Hippolais polyglotta,Passeriformes,Acrocephalidae,B362
Hippolais icterina,Passeriformes,Acrocephalidae,B363
Phylloscopus trochilus,Passeriformes,Phylloscopidae,B364
Phylloscopus collybita,Passeriformes,Phylloscopidae,B365
Phylloscopus sindianus lorenzii,Passeriformes,Phylloscopidae,B366
Phylloscopus bonelli,Passeriformes,Phylloscopidae,B367
Phylloscopus sibillatrix,Passeriformes,Phylloscopidae,B368
Phylloscopus inornatus,Passeriformes,Phylloscopidae,B369
Phylloscopus borealis,Passeriformes,Phylloscopidae,B370
Phylloscopus trochiloides,Passeriformes,Phylloscopidae,B371
Phoenicurus ochruros,Passeriformes,Muscicapidae,B399
Phoenicurus phoenicurus,Passeriformes,Muscicapidae,B400
Circus macrourus,Accipitriformes,Accipitridae,B98
Lyrurus tetrix,Galliformes,Phasianidae,B127
Tetrastes bonasia,Galliformes,Phasianidae,B129
Alectoris graeca,Galliformes,Phasianidae,B132
Alectoris chukar,Galliformes,Phasianidae,B133
Alectoris barbara,Galliformes,Phasianidae,B134
Alectoris rufa,Galliformes,Phasianidae,B135
Ammoperdix griseogularis,Galliformes,Phasianidae,B136
Francolinus francolinus,Galliformes,Phasianidae,B137
Coturnix coturnix,Galliformes,Phasianidae,B139
Asio flammeus,Strigiformes,Strigidae,B267
Circus pygargus,Accipitriformes,Accipitridae,B99
Accipiter brevipes,Accipitriformes,Accipitridae,B100
Merops superciliosus,Coraciiformes,Meropidae,B279
Merops apiaster,Coraciiformes,Meropidae,B280
Aegithalos caudatus,Passeriformes,Aegithalidae,B413
Poecile lugubris,Passeriformes,Paridae,B414
Poecile palustris,Passeriformes,Paridae,B415
Poecile montanus,Passeriformes,Paridae,B416
Poecile cinctus,Passeriformes,Paridae,B417
Periparus ater,Passeriformes,Paridae,B418
Parus major,Passeriformes,Paridae,B420
Cyanistes caeruleus,Passeriformes,Paridae,B421
Nyctalus noctula,Chiroptera,Vespertilionidae,M198
Accipiter nisus,Accipitriformes,Accipitridae,B101
Falco tinnunculus,Falconiformes,Falconidae,B115
Upupa epops,Bucerotiformes,Upupidae,B282
Jynx torquilla,Piciformes,Picidae,B283
Bombycilla garrulus,Passeriformes,Bombycillidae,B325
Prunella montanella,Passeriformes,Prunellidae,B329
Prunella ocularis,Passeriformes,Prunellidae,B330
