MSW3_ID,Scientific,MSWFamilyLatin,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value.g,BodyMass.Source,BodyMass.SpecLevel,Species,plant,animal,diet.elton
5106,Babyrousa togeanensis,Suidae,10,0,0,0,10,0,20,0,0,60,Ref_1,ABC,G,A,,0,0,1,Ref_1,ABC,1.00E+05,"Ref_2, Ref_3",0,Babyrousa togeanensis,80,20,omnivore
5107,Babyrousa celebensis,Suidae,10,0,0,0,10,0,20,0,0,60,Ref_1,ABC,G,A,,0,0,1,Ref_1,ABC,1.00E+05,"Ref_2, Ref_3",0,Babyrousa celebensis,80,20,omnivore
5108,Babyrousa bolabatuensis,Suidae,10,0,0,0,10,0,20,0,0,60,Ref_1,ABC,G,A,,0,0,1,Ref_1,ABC,1.00E+05,"Ref_2, Ref_3",0,Babyrousa bolabatuensis,80,20,omnivore
5109,Phacochoerus africanus,Suidae,0,0,0,0,0,10,10,0,0,80,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,82500,Ref_117,1,Phacochoerus africanus,90,10,omnivore
5110,Phacochoerus aethiopicus,Suidae,0,0,0,0,0,10,10,0,0,80,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,71000.27,Ref_117,1,Phacochoerus aethiopicus,90,10,omnivore
5111,Hylochoerus meinertzhageni,Suidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,188500,Ref_117,1,Hylochoerus meinertzhageni,100,0,herbivore
5112,Potamochoerus larvatus,Suidae,0,10,10,0,0,0,40,0,0,40,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,48781.25,Ref_117,1,Potamochoerus larvatus,80,20,omnivore
5113,Potamochoerus porcus,Suidae,0,10,10,0,0,0,40,0,0,40,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,70000.32,Ref_117,1,Potamochoerus porcus,80,20,omnivore
5114,Catagonus wagneri,Tayassuidae,0,0,0,0,0,0,0,0,30,70,Ref_1,ABC,G,A,,0,0,1,Ref_1,ABC,35566.41,Ref_117,1,Catagonus wagneri,100,0,herbivore
5115,Pecari tajacu,Tayassuidae,10,0,20,0,0,0,10,0,0,60,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,21266.69,Ref_117,1,Pecari tajacu,70,30,omnivore
5116,Tayassu pecari,Tayassuidae,10,0,0,0,10,0,30,0,30,20,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,32233.69,Ref_117,1,Tayassu pecari,80,20,omnivore
5117,Hexaprotodon liberiensis,Hippopotamidae,0,0,0,0,0,0,10,0,0,90,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,235001.16,Ref_117,1,Hexaprotodon liberiensis,100,0,herbivore
5118,Hippopotamus amphibius,Hippopotamidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,1417489.99,Ref_117,1,Hippopotamus amphibius,100,0,herbivore
5119,Camelus bactrianus,Camelidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,0,0,1,Ref_1,ABC,690000,Ref_117,1,Camelus bactrianus,100,0,herbivore
5120,Camelus dromedarius,Camelidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,0,0,1,Ref_1,ABC,601000,Ref_117,1,Camelus dromedarius,100,0,herbivore
5121,Lama glama,Camelidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,0,0,1,Ref_1,ABC,142500,Ref_117,1,Lama glama,100,0,herbivore
