Species ID;ITIS code;Catalogue of Life;Class;Order;Family;Species;Author
R79;1081836;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Zamenis situla;(Linnaeus, 1758) 
R80;551943;v1.9 rev 2126ab0;Reptilia;Testudines;Emydidae;Emys orbicularis;(Linnaeus, 1758) 
R81;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Eremias arguta;(Pallas, 1773)
R82;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Eremias intermedia;Bischoff, 1978
R83;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Eremias pleskei;Nikolsky, 1905
R84;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Eremias scripta;(Strauch, 1867)
R85;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Eremias strauchi;Kessler, 1878
R86;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Eremias suphani;Basoglu & Hellmich, 1968
R87;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Eremias velox;(Pallas, 1771)
R88;634806;v1.9 rev 2126ab0;Reptilia;Squamata;Boidae;Eryx jaculus;(Linnaeus, 1758) 
R89;634809;v1.9 rev 2126ab0;Reptilia;Squamata;Boidae;Eryx miliaris;(Pallas, 1773) 
R90;818508;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Euleptes europaea;(Gene, 1839) 
R91;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Eumeces schneideri;(Daudin, 1802)
R92;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Gallotia atlantica;(Peters & Doria, 1882)
R93;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Gallotia auaritae;Mateo, Garcia-marquez, López-jurado & Barahona, 2001
R94;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Gallotia bravoana;Hutterer, 1985
R95;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Gallotia caesaris;Lehrs, 1914
R96;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Gallotia galloti;(Oudart, 1839)
R97;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Gallotia intermedia;Barrbadillo, Lacoba, Pérez-mellado, Sancho & López-jurado, 1999
R98;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Gallotia simonyi;(Steindachner, 1889)
R99;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Gallotia stehlini;(Schenkel, 1901)
R100;634887;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Gloydius intermedius;(Strauch, 1868) 
R101;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Hellenolacerta graeca;(Bedriaga, 1886)
R102;174059;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Hemidactylus turcicus;(Linnaeus, 1758) 
R103;1081681;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Hemorrhois hippocrepis;(Linnaeus, 1758) 
R104;1082842;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Dolichophis cypriensis;(Schätti, 1985) 
R105;1081680;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Hierophis gemonensis;(Laurenti, 1768) 
R106;1081699;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Hierophis viridiflavus;(Lacépède, 1789) 
R107;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Iberolacerta aranica;(Arribas, 1993)
R108;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Iberolacerta aurelioi;(Arribas, 1994)
R109;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Iberolacerta bonnali;(Lantz, 1927)
R110;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Iberolacerta cyreni;(Müller & Hellmich, 1937)
R111;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Iberolacerta galani;Arribas, Carranza & Odierna, 2006
R112;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Iberolacerta horvathi;(Méhely, 1904)
R113;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Iberolacerta martinezricai;(Arribas, 1996)
R114;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Iberolacerta monticola;(Boulenger, 1905)
R115;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Lacerta agilis;Linnaeus, 1758
R116;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Anatololacerta anatolica;(Werner, 1900)
R117;683036;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Lacerta bilineata;Daudin, 1802 
R118;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Apathya cappadocica;(Werner, 1902)
R119;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Phoenicolacerta cyanisparsa;(Schmidtler & Bischoff, 1999)
R120;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Anatololacerta danfordi;(Günther, 1876)
R121;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Teira dugesii;(Milne-edwards, 1829)
R122;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Phoenicolacerta laevis;(Gray, 1838)
R123;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Timon lepidus;(Daudin, 1802)
R124;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Lacerta media;Lantz & Cyrén, 1920
R125;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Dinarolacerta mosorensis;(Kolombatovic, 1886)
R126;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Dinarolacerta montenegrina;Ljubisavljevi, Arribas, Duki & Carranza, 2007
R127;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Anatololacerta oertzeni;Arnold et al. 2007
R128;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Dalmatolacerta oxycephala;(Schlegel, 1839)
R129;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Lacerta pamphylica;Schmidtler, 1975
R130;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Parvilacerta parva;(Boulenger, 1887)
R131;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Timon princeps;(Blanford, 1874)
R132;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Lacerta schreiberi;Bedriaga, 1878
R133;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Lacerta strigata;Eichwald, 1831
R134;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Lacerta trilineata;Bedriaga, 1886
R135;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Phoenicolacerta troodica;(Werner, 1936)
R136;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Lacerta viridis;(Laurenti, 1768)
R137;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Zootoca vivipara;(Lichtenstein, 1823)
R138;1056822;v1.9 rev 2126ab0;Reptilia;Squamata;Agamidae;Paralaudakia caucasia;(Eichwald, 1831)
R139;1056675;v1.9 rev 2126ab0;Reptilia;Squamata;Agamidae;Stellagama stellio;(Linnaeus, 1758)
R140;1107545;v1.9 rev 2126ab0;Reptilia;Squamata;Leptotyphlopidae;Myriopholis macrorhyncha;(Jan, 1860) 
