Taxon,Binomial,Family,Insular (Y/N),Maximum mass (log10(g)),Appears in fossil record? (Y/N),Reference for body size,Reference for fossil record
Amphisbaenians,Amphisbaena wuchereri,Amphisbaenidae,N,1.89141,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena maximus,Amphisbaenidae,N,1.945314875,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena bassleri,Amphisbaenidae,N,1.984422543,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena pretrei,Amphisbaenidae,N,2.030220396,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis galeata,Amphisbaenidae,N,2.045222368,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena polystegum,Amphisbaenidae,N,2.060466337,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena fuliginosa,Amphisbaenidae,N,2.167772807,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena scutigerum,Amphisbaenidae,N,2.167772807,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis adercae,Amphisbaenidae,N,2.202233696,N,"Feldman et al., 2016",
Amphisbaenians,Dalophia longicauda,Amphisbaenidae,N,2.236025398,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena camura,Amphisbaenidae,N,2.285513605,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena cunhai,Amphisbaenidae,N,2.333633297,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena microcephalum,Amphisbaenidae,N,2.333633297,N,"Feldman et al., 2016",
Amphisbaenians,Dalophia pistillum,Amphisbaenidae,N,2.364989424,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena bolivica,Amphisbaenidae,N,2.392734851,Y,"Feldman et al., 2016","Scanferla et al., 2006"
Amphisbaenians,Monopeltis remaclei,Amphisbaenidae,N,2.42605597,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena infraorbitale,Amphisbaenidae,N,2.583714317,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis jugularis,Amphisbaenidae,N,2.597363156,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis schoutedeni,Amphisbaenidae,N,2.65091255,N,"Feldman et al., 2016",
Amphisbaenians,Dalophia gigantea,Amphisbaenidae,N,2.765693792,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena alba,Amphisbaenidae,N,3.007299471,N,"Feldman et al., 2016",
Crocodiles,Alligator mississippiensis,Alligatoridae,N,5.50516127069652,Y,Trutnau & Sommerlad 2006,"Hulbert & Pratt, 1998"
Crocodiles,Alligator sinensis,Alligatoridae,N,4.4898424160718,Y,Trutnau & Sommerlad 2006,"Chang, 1996"
Crocodiles,Caiman crocodilus,Alligatoridae,N,4.86558602991206,N,Trutnau & Sommerlad 2006,
Crocodiles,Caiman latirostris,Alligatoridae,N,5.24304594644615,Y,Trutnau & Sommerlad 2006,"Patterson, 1936"
Crocodiles,Caiman yacare,Alligatoridae,N,4.99750184338416,N,Trutnau & Sommerlad 2006,
