Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species,body_mass_databases,new_body_mass_g
M174,45,NA,Mammalia,Rodentia,Cricetidae,Myopus schisticolor,25,25
M175,8,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis alcathoe,5,5
M176,8,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis aurascens,7.5,7.5
M177,13.6,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis bechsteinii,8.5,8.5
M178,29.5,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis blythii,22.5,22.5
M179,9.5,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis brandtii,5.3,5.3
M180,15,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis capaccinii,7.4,7.4
M181,20,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis dasycneme,14.1,14.1
M182,15,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis daubentonii,7.4,7.4
M183,13.6,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis emarginatus,7.7,7.7
M184,NA,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis hajastanicus,6.8,6.8
M185,35,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis myotis,34,34
M186,8,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis mystacinus,6,6
M187,14,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis nattereri,7.1,7.1
M188,15,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis nipalensis,6.3,6.3
M189,30,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis punicus,23.5,23.5
M190,NA,NA,Mammalia,Chiroptera,Vespertilionidae,Myotis schaubi,8,8
M191,16,NA,Mammalia,Eulipotyphla,Soricidae,Neomys anomalus,16,16
M192,24,NA,Mammalia,Eulipotyphla,Soricidae,Neomys fodiens,14.3,14.3
M193,28,NA,Mammalia,Eulipotyphla,Soricidae,Neomys teres,12.9,12.9
M195,15,NA,Mammalia,Chiroptera,Vespertilionidae,Nyctalus azoreum,7.1,7.1
M196,76,NA,Mammalia,Chiroptera,Vespertilionidae,Nyctalus lasiopterus,49.7,49.7
M197,23.2,NA,Mammalia,Chiroptera,Vespertilionidae,Nyctalus leisleri,13.3,13.3
M198,46,NA,Mammalia,Chiroptera,Vespertilionidae,Nyctalus noctula,28,28
M199,260,NA,Mammalia,Lagomorpha,Ochotonidae,Ochotona hyperborea,156,156
M200,250,NA,Mammalia,Lagomorpha,Ochotonidae,Ochotona pusilla,142.5,142.5
M201,2500,NA,Mammalia,Lagomorpha,Leporidae,Oryctolagus cuniculus,1958.3,1958.3
M202,4500,NA,Mammalia,Carnivora,Felidae,Otocolobus manul,3500,3500
M203,40000,NA,Mammalia,Cetartiodactyla,Bovidae,Ovis aries,NA,40000
M204,NA,NA,Mammalia,Cetartiodactyla,Bovidae,Ovis orientalis,60000,60000
M205,71000,NA,Mammalia,Carnivora,Felidae,Panthera pardus,54999.7,54999.7
M206,10,NA,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus kuhlii,5.9,5.9
M207,5.7,NA,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus maderensis,7,7
M208,15.5,NA,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus nathusii,7.3,7.3
M209,9.2,NA,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus pipistrellus,5.7,5.7
M210,7.5,NA,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus pygmaeus,5.7,5.7
M90,10,NA,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus savii,NA,10
M211,14,NA,Mammalia,Chiroptera,Vespertilionidae,Plecotus auritus,7.8,7.8
M212,14,NA,Mammalia,Chiroptera,Vespertilionidae,Plecotus austriacus,7.3,7.3
M213,10,NA,Mammalia,Chiroptera,Vespertilionidae,Plecotus kolombatovici,7,7
M214,14,NA,Mammalia,Chiroptera,Vespertilionidae,Plecotus macrobullaris,8.5,8.5
M215,14,NA,Mammalia,Chiroptera,Vespertilionidae,Plecotus sardus,9.8,9.8
