Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species
B72,1626,NA,Aves,Anseriformes,Anatidae,Somateria spectabilis
B73,850,NA,Aves,Anseriformes,Anatidae,Polysticta stelleri
B74,604,NA,Aves,Anseriformes,Anatidae,Histrionicus histrionicus
B75,741.7778,NA,Aves,Anseriformes,Anatidae,Clangula hyemalis
B76,1209,NA,Aves,Anseriformes,Anatidae,Melanitta nigra
B77,1675,NA,Aves,Anseriformes,Anatidae,Melanitta fusca
B78,850,NA,Aves,Anseriformes,Anatidae,Bucephala clangula
B79,1090,NA,Aves,Anseriformes,Anatidae,Bucephala islandica
B8,394,NA,Aves,Podicipediformes,Podicipedidae,Podiceps auritus
B80,636.83,NA,Aves,Anseriformes,Anatidae,Mergellus albellus
B81,1034.97,NA,Aves,Anseriformes,Anatidae,Mergus serrator
B82,1602.71,NA,Aves,Anseriformes,Anatidae,Mergus merganser
B84,751.88,NA,Aves,Anseriformes,Anatidae,Oxyura leucocephala
B85,1600,NA,Aves,Falconiformes,Accipitridae,Pandion haliaetus
B86,800,NA,Aves,Falconiformes,Accipitridae,Pernis apivorus
B87,232.5,NA,Aves,Falconiformes,Accipitridae,Elanus caeruleus
B88,1025,NA,Aves,Falconiformes,Accipitridae,Milvus milvus
B89,800,NA,Aves,Falconiformes,Accipitridae,Milvus migrans
B9,300,NA,Aves,Podicipediformes,Podicipedidae,Podiceps nigricollis
B90,4793,NA,Aves,Falconiformes,Accipitridae,Haliaeetus albicilla
B91,6000,NA,Aves,Falconiformes,Accipitridae,Gypaetus barbatus
B92,1900,NA,Aves,Falconiformes,Accipitridae,Neophron percnopterus
B93,9250,NA,Aves,Falconiformes,Accipitridae,Gyps fulvus
B94,10000,NA,Aves,Falconiformes,Accipitridae,Aegypius monachus
B95,1750,NA,Aves,Falconiformes,Accipitridae,Circaetus gallicus
B96,600,NA,Aves,Falconiformes,Accipitridae,Circus aeruginosus
B97,550,NA,Aves,Falconiformes,Accipitridae,Circus cyaneus
B98,375.125,NA,Aves,Falconiformes,Accipitridae,Circus macrourus
B99,337.5,NA,Aves,Falconiformes,Accipitridae,Circus pygargus
NA,795,NA,NA,NA,NA,NA
NA,1000,NA,NA,NA,NA,NA
M1,90,NA,Mammalia,Rodentia,Muridae,Acomys cilicicus
M2,86,NA,Mammalia,Rodentia,Muridae,Acomys minous
M3,63,NA,Mammalia,Rodentia,Muridae,Acomys nesiotes
M4,8.00E+05,NA,Mammalia,Cetartiodactyla,Cervidae,Alces alces
M5,62,NA,Mammalia,Rodentia,Dipodidae,Allactaga elater
M6,92,NA,Mammalia,Rodentia,Dipodidae,Allactaga euphratica
M7,400,NA,Mammalia,Rodentia,Dipodidae,Allactaga major
M8,97.5,NA,Mammalia,Rodentia,Dipodidae,Allactaga sibirica
M9,137,NA,Mammalia,Rodentia,Dipodidae,Allactaga williamsi
M10,60,NA,Mammalia,Rodentia,Cricetidae,Allocricetulus eversmanni
M11,6000,NA,Mammalia,Carnivora,Canidae,Alopex lagopus
M12,29.8,NA,Mammalia,Rodentia,Muridae,Apodemus agrarius
M13,42,NA,Mammalia,Rodentia,Muridae,Apodemus alpicola
M14,56,NA,Mammalia,Rodentia,Muridae,Apodemus epimelas
M15,50,NA,Mammalia,Rodentia,Muridae,Apodemus flavicollis
M16,27,NA,Mammalia,Rodentia,Muridae,Apodemus hyrcanicus
M17,57,NA,Mammalia,Rodentia,Muridae,Apodemus mystacinus
M18,25.76,NA,Mammalia,Rodentia,Muridae,Apodemus ponticus
M19,47,NA,Mammalia,Rodentia,Muridae,Apodemus sylvaticus
M20,28,NA,Mammalia,Rodentia,Muridae,Apodemus uralensis
M21,37,NA,Mammalia,Rodentia,Muridae,Apodemus witherbyi
M22,250,NA,Mammalia,Rodentia,Cricetidae,Arvicola amphibius
M23,275,NA,Mammalia,Rodentia,Cricetidae,Arvicola sapidus
M24,53,NA,Mammalia,Rodentia,Cricetidae,Arvicola scherman
M25,657,NA,Mammalia,Eulipotyphla,Erinaceidae,Atelerix algirus
M26,14.2,NA,Mammalia,Chiroptera,Vespertilionidae,Barbastella barbastellus
M27,10,NA,Mammalia,Chiroptera,Vespertilionidae,Barbastella leucomelas
M28,1.00E+06,NA,Mammalia,Cetartiodactyla,Bovidae,Bison bonasus
M29,21.22,NA,Mammalia,Rodentia,Calomyscidae,Calomyscus urartensis
M30,9800,NA,Mammalia,Carnivora,Canidae,Canis aureus
M31,62000,NA,Mammalia,Carnivora,Canidae,Canis lupus
M32,NA,NA,Mammalia,Cetartiodactyla,Bovidae,Capra aegagrus
M33,155000,NA,Mammalia,Cetartiodactyla,Bovidae,Capra caucasica
M34,155000,NA,Mammalia,Cetartiodactyla,Bovidae,Capra cylindricornis
M36,120000,NA,Mammalia,Cetartiodactyla,Bovidae,Capra ibex
M37,90000,NA,Mammalia,Cetartiodactyla,Bovidae,Capra pyrenaica
M38,30000,NA,Mammalia,Cetartiodactyla,Cervidae,Capreolus capreolus
M39,47000,NA,Mammalia,Cetartiodactyla,Cervidae,Capreolus pygargus
M40,38000,NA,Mammalia,Rodentia,Castoridae,Castor fiber
M41,255000,NA,Mammalia,Cetartiodactyla,Cervidae,Cervus elaphus
M42,63,NA,Mammalia,Rodentia,Cricetidae,Chionomys gud
